Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
1999	May	01-May-99	BRAZIL	Pernambuco	Boa Viagem Beach, Recife	Unprovoked	Tiger shark, 2.5 m [8.25']	1.0	['21']	['Leg & hands bitten']	['Surfing']	['N']	['M']	Spring
1999	May	29-May-99	AUSTRALIA	South Australia	Hardwicke Bay, Yorke Peninsula	Unprovoked	Thought to involve a white shark	1.0	['22']	['FATAL, body not recovered']	['Windsurfing']	['Y']	['M']	Spring
1999	Nov	06-Nov-99	BRAZIL	Rio de Janeiro	Rio de Janeiro, Guanabara Bay	Unprovoked	1.3 to 1.6 m shark	1.0	['39']	['Upper right thigh bitten']	['Spearfishing, but swimming at surface']	['N']	['M']	Autumn
1999	Nov	13-Nov-99	SOUTH AFRICA	KwaZulu-Natal	Umtentweni	Unprovoked	White shark, 3 m [10'] 	1.0	['35']	['Lower legs lacerated']	['Surfing']	['N']	['M']	Autumn
1999	Nov	15-Nov-99	USA	California	Waddell Reef, Santa Cruz County	Unprovoked	White shark	1.0	[nan]	['No injury, board bitten']	['Surfing (sitting on his board)']	['N']	['M']	Autumn
1999	Nov	23-Nov-99	USA	Hawaii	Big Island off Kona Village Resort, North Kona	Unprovoked	Tiger shark, 1.8 m to 2.4 m [6' to 8'] 	1.0	['51']	['Buttock bitten, hands lacerated']	['Swimming']	['N']	['F']	Autumn
1999	Nov	Nov-99	MARSHALL ISLANDS	Alinglaplap Atoll	Island J4H	Unprovoked	Grey reef shark, 1.2 m [4'] 	1.0	['12', '12']	['Lacerations to leg', 'Lacerations to buttocks']	['Swimming', 'Swimming']	['N', 'N']	['M', 'M']	Autumn
1999	Oct	01-Oct-99	USA	Hawaii	Old Kona Airport State Park	Unprovoked	Tiger shark, 1.8 m to 2.4 m [6' to 8'] 	1.0	['16']	['Right arm bitten']	['Surfing, lying on surfboard']	['N']	['M']	Autumn
1999	Oct	20-Oct-99	USA	Florida	Pet Den, Satellite Beach, Brevard County	Unprovoked	Lemon shark, 2.7 m [9'] 	1.0	[nan]	['Lacerations to right hand & wrist']	['Surfing']	['N']	['M']	Autumn
1999	Sep	04-Sep-99	USA	Florida	World Typhoon Lagoon, Disney Water Park, Orange County	Provoked	0.9 m [3'] shark	1.0	['7']	['Left knee nipped by captive shark PROVOKED INCIDENT']	['Wading']	['N']	['M']	Autumn
1999	Sep	05-Sep-99	USA	Florida	Fort Pierce Inlet, St. Lucie County	Unprovoked	1.5 m to 1.8 m [5' to 6'] shark	1.0	['13']	['Right foot bitten']	['Surfing']	['N']	['M']	Autumn
1999	Sep	24-Sep-99	ITALY	Adriatic Sea	San Benedetto	Boat	Said to involve a 7 m [23'] white shark	1.0	[nan]	['No Injury to occupants']	['Fishing']	['N']	[nan]	Autumn
1999	Sep	Reported 16-Sep-1999	USA	Florida	Cape Canaveral, Brevard County	Unprovoked	Unidentified	1.0	['61']	['Thigh (posterior) bitten']	['Wading']	['N']	['F']	Autumn
2000	Aug	11-Aug-00	USA	North Carolina	Emerald Isle, Carteret County	Invalid	Shark involvement  not confirmed	1.0	[nan]	['Non-fatal']	['Swimming ']	['N']	['M']	Summer
2000	Aug	12-Aug-00	USA	Florida	St. Augustine, St. Johns County	Unprovoked	Blacktip shark, 2.4 m to 3 m [8' to 10'] 	1.0	['44']	['Severely bitten on lower leg ']	['Standing']	['N']	['F']	Summer
2000	Aug	13-Aug-00	USA	Florida	South Jacksonville Beach, Duval County	Unprovoked	juvenile shark	1.0	['27']	['Minor lacerations to the dorsum of the right foot']	['Surfing / Wading']	['N']	['M']	Summer
2000	Aug	15-Aug-00	USA	Hawaii	Kanaha Beach, Maui	Unprovoked	"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  "	1.0	['53']	['Left calf lacerated']	['Windsurfing, but sitting on his board']	['N']	['M']	Summer
2000	Aug	30-Aug-00	USA	Florida	Boca Ciega Bay, Tampa, Pinellas County	Unprovoked	Thought to involve a 2.7 m [9'], 400-lb bull shark	1.0	['69']	['FATAL']	['Jumped into the water']	['Y']	['M']	Summer
2000	Aug	31-Aug-00	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	A 2' shark was seen in the area by witnesses	1.0	['47']	['Punctures & lacerations on right foot']	['Swimming']	['N']	['M']	Summer
2000	Aug	Reported 27-Aug-2000	USA	Alaska	Prince William Sound	Provoked	Salmon shark	1.0	[nan]	['Leg bitten by netted shark PROVOKED INCIDENT']	['Conducting research']	['N']	['M']	Summer
2000	Dec	03-Dec-00	AUSTRALIA	Queensland	Sykes Reef, Great Barrier Reef	Unprovoked	Bronze whaler shark, 2.5 m [8.25'] 	1.0	['38']	['Left elbow and forearm bitten']	['Spearfishing']	['N']	['M']	Winter
2000	Dec	05-Dec-00	CANADA	New Brunswick	Bay of Fundy	Unprovoked	Porbeagle shark, 3 m [10']rk	2.0	['30']	['No injury']	['Diving for sea urchins']	['N']	['M']	Winter
2000	Dec	11-Dec-00	AUSTRALIA	South Australia	3 km off Port Victoria, Yorke Peninsula	Boat	"White shark, 4.5 m [14'9""] "	2.0	[nan]	['No injury to occupants']	['Fishing for whiting']	['N']	[nan]	Winter
2000	Dec	12-Dec-00	FIJI	Taveuni	Garden Island Resort	Unprovoked	6 m [20'] shark	1.0	['47']	['FATAL, leg severed ']	['Swimming back from anchored sailboat']	['Y']	['M']	Winter
2000	Feb	01-Feb-00	AUSTRALIA	South Australia	Point Sinclair, Cactus Beach near Penong	Unprovoked	3 m [10'] shark	1.0	['26']	['Hand bitten']	['Surfing']	['N']	['M']	Winter
2000	Feb	14-Feb-00	ENGLAND	Worcestershire	The Fountain Pub in Tenbury Wells	Provoked	Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks	1.0	[nan]	['Fingers bitten PROVOKED INCIDENT']	['Feeding prawns to captive sharks']	['N']	['M']	Winter
2000	Feb	19-Feb-00	SOUTH AFRICA	Western Cape Province	Struis Bay	Unprovoked	White shark, 2.5 m 	1.0	[nan]	['Foot bitten']	['Body surfing']	['N']	['M']	Winter
2000	Jul	02-Jul-00	USA	Florida	Smyrna Dunes  Park, New Smyrna Beach, Volusia County	Unprovoked	0.9 m [3'] shark	1.0	['13']	['Left calf & hand lacerated']	['Wading']	['N']	['F']	Summer
2000	Jul	02-Jul-00	USA	Florida	Smyrna Dunes Park, New Smyrna Beach, Volusia County	Unprovoked	0.9 m [3'] shark,  probably a blacktip or spinner shark	1.0	['19']	['Left thigh lacerated']	['Standing']	['N']	['F']	Summer
2000	Jul	04-Jul-00	USA	Florida	Artifical reef 3 miles off Manatee Beach, Manatee County	Unprovoked	Nurse shark, 1.2 m [4'] 	1.0	['55']	['Lower right calf lacerated']	['Spearfishing, holding mesh bag with speared fish']	['N']	['F']	Summer
2000	Jul	06-Jul-00	USA	North Carolina	Pine Island, Corolla, Currituck County	Unprovoked	Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?	1.0	['12']	['Calf lacerated']	['Playing']	['N']	['F']	Summer
2000	Jul	07-Jul-00	USA	Texas	Mustang Island, Corpus Christi	Unprovoked	Lemon shark, 2.1  m to 2.4 m [7' to 8'] 	2.0	['5']	['Ankle & foot lacerated']	['Jumping']	['N']	['M']	Summer
2000	Jul	12-Jul-00	 TONGA	Minerva Reef	Treated at Nuku-alofa	Unprovoked	Grey reef shark, 2 m [6.75'] 	1.0	['69']	['Left arm bitten']	['Scuba diving']	['N']	['M']	Summer
2000	Jul	16-Jul-00	USA	North Carolina	Holden Beach, Brunswick County	Unprovoked	1.8 m [6'] grey-colored shark	1.0	['14']	['Minor lacerations on foot']	['Surfing']	['N']	['M']	Summer
2000	Jul	22-Jul-00	USA	Florida	Big Pine Key, Monroe County 	Unprovoked	Nurse shark, 1.5 m [5']	1.0	['45']	['Leg pinched']	['Snorkeling']	['N']	['F']	Summer
2000	Jun	09-Jun-00	USA	Alabama	Gulf Shores, Baldwin County	Unprovoked	Bull shark	1.0	['44']	['Right forearm severed surgically amputated above elbow']	['Swimming ']	['N']	['M']	Summer
2000	Jun	09-Jun-00	USA	Alabama	Gulf Shores, Baldwin County	Unprovoked	Bull shark?	1.0	['55']	['Puncture wounds on right hip and arm']	['Swimming']	['N']	['M']	Summer
2000	Jun	10-Jun-00	USA	Texas	J.P. Luby Surf Park, Corpus Christi	Unprovoked	Blacktip shark, 1.2 m to 1.8 m [4' to 6'] 	1.0	['17']	['Foot lacerated']	['Surfing']	['N']	['M']	Summer
2000	Jun	13-Jun-00	USA	Florida	Pensacola Bay, Escambia County	Boat	Bull shark, 2.4 m [8']	1.0	[nan]	"[""No injury to occupants, boat's rear platform bitten""]"	['Sailing']	['N']	[nan]	Summer
2000	Jun	29-Jun-00	NEW ZEALAND	North Island	Papamoa Beach, Bay of Plenty	Boat	Mako shark, 2 m [6.75'] 	1.0	[nan]	['No injury, shark bit the dinghy']	['Fishing']	['N']	['M']	Summer
2000	Mar	10-Mar-00	AUSTRALIA	New South Wales	Parramatta River	Boat	2 m to 2.5 m [6.75'  to 8.25'] shark	1.0	[nan]	['No Injury to occupants']	['Rowing']	['N']	[nan]	Spring
2000	Mar	14-Mar-00	AUSTRALIA	New South Wales	McMasters Beach, Central Coast	Unprovoked	Tiger shark, 4 m [13'] ?	1.0	[nan]	['No Injury']	['Surfing']	['N']	['M']	Spring
2000	Mar	15-Mar-00	NEW CALEDONIA	North Province	Poum	Unprovoked	Tiger shark?	1.0	['35']	['FATAL']	['Spearfishing']	['Y']	['M']	Spring
2000	Mar	24-Mar-00	USA	Florida	Floridana Beach, Brevard County	Unprovoked	1.2 m [4'] shark	1.0	['37']	['Left hand bitten']	['Surfing']	['N']	['M']	Spring
2000	Mar	26-Mar-00	USA	Florida	Juno Beach, Palm Beach County	Unprovoked	1.8 m [6'] shark	1.0	['14']	['Right knee lacerated']	['Boogie boarding']	['N']	['F']	Spring
2000	Mar	30-Mar-00	AUSTRALIA	Queensland	Main Beach, Gold Coast	Unprovoked	2.5 m shark	1.0	['26']	['Left calf bitten']	['Swimming']	['N']	['M']	Spring
2000	Mar	Mar-00	USA	Louisiana	Midnight Lump (38 miles offshore)	Unprovoked	Shortfin mako shark, 3 m to 3.4 m [10' to 11'] 	1.0	['39']	['No injury to diver, speargun damaged']	['Spearfishing']	['N']	['M']	Spring
2000	Mar	Reported      03-Mar-2000	NEW ZEALAND	North Island	Between the Kakanui River and Campbell's Bay	Invalid	Shark involvement  questionable	1.0	['27']	['Reported as shark attack but probable drowning ']	['Kayaking']	['UNKNOWN']	['M']	Spring
2000	May	13-May-00	NEW CALEDONIA	South Province	Mont Dore	Sea Disaster	Tiger sharks & bull sharks (20 sharks in all)	1.0	[nan]	['Sharks prevented recovery of remains']	['Air Disaster - Piper aircraft crashed into the sea, killing all on board']	['Y']	[nan]	Spring
2000	Nov	04-Nov-00	USA	California	1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County	Unprovoked	White shark, 2.4 m to 3 m [8' to 10'] 	1.0	['27']	['Both thighs bitten']	['Surfing']	['N']	['M']	Autumn
2000	Nov	06-Nov-00	AUSTRALIA	Western Australia	Cottesloe Beach, Perth	Unprovoked	White shark, 4.9 m [16'] 	1.0	['52']	['Leg & feet lacerated']	['Swimming']	['N']	['M']	Autumn
2000	Nov	06-Nov-00	AUSTRALIA	Western Australia	Cottesloe Beach, Perth	Unprovoked	White shark, 5 m [16.5'] 	1.0	['49']	['FATAL, torso bitten, leg severed ']	['Swimming']	['Y']	['M']	Autumn
2000	Nov	10-Nov-00	USA	Florida	Vaughn Beach, Flagler County	Invalid	Bull shark, 1.5 m to 1.8 m [5' to 6'] 	1.0	['27']	['No injury']	['Walking']	['N']	['F']	Autumn
2000	Nov	17-Nov-00	USA	Florida	Bonita Springs, Lee County	Unprovoked	1.2 m to 1.8 m [4' to 6'] shark	1.0	['73']	['Right calf lacerated']	['Swimming']	['N']	['M']	Autumn
2000	Nov	20-Nov-00	AUSTRALIA	South Australia	Ceduna	Invalid	Shark involvement not confirmed	1.0	['47']	['Missing, thought to have been taken by a shark']	['Shipwrecked']	['Y']	['M']	Autumn
2000	Nov	21-Nov-00	AUSTRALIA	Queensland	Orpheus Island	Unprovoked	Tiger shark, 4 m 	1.0	['28']	['No injury, wetsuit & swimfin torn']	['Diving (shell maintenance)']	['N']	['M']	Autumn
2000	Oct	06-Oct-00	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Blacktip shark, 2' 	1.0	['23']	['Fingers lacerated']	['Surfing']	['N']	['M']	Autumn
2000	Oct	09-Oct-00	USA	Florida	Lake Worth Inlet/West Palm Beach, Palm Beach County	Unprovoked	2.1 to 2.4 m [7' to 8'] shark	1.0	['17']	['Foot lacerated']	['Surfing']	['N']	['M']	Autumn
2000	Oct	18-Oct-00	USA	Hawaii	Olowalu	Unprovoked	Tiger shark, 1.8 m to 2.4 m [6' to 8'] 	1.0	['56']	['Right side of back / torso lacerated']	['Swimming / snorkeling']	['N']	['F']	Autumn
2000	Oct	29-Oct-00	AUSTRALIA	Queensland	Peel Island	Boat	White shark	1.0	['31']	['No Injury to occupant, shark holed and sank boat']	['Fishing ']	['N']	[nan]	Autumn
2000	Sep	08-Sep-00	REUNION	Saint-Pierre	Pic du Diable 	Unprovoked	Tiger shark, 3 m [10'] 	1.0	['27']	['Left arm bitten']	['Surfing']	['N']	['M']	Autumn
2000	Sep	08-Sep-00	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	1.5 m [5'] shark	1.0	['40']	['Left foot lacerated ']	['Wading']	['N']	['M']	Autumn
2000	Sep	10-Sep-00	SOUTH AFRICA	Western Cape Province	Dyer Island	Unprovoked	White shark, 3.5 m [11.5']  male 	1.0	['48']	['Swim fin bitten']	['Free diving']	['N']	['M']	Autumn
2000	Sep	11-Sep-00	USA	Florida	Daytona Beach Shores, Volusia County	Unprovoked	60 cm to 90 cm [2' to 3'] shark	1.0	['25']	['Finger lacerated']	['Swimming / Body surfing']	['N']	['M']	Autumn
2000	Sep	16-Sep-00	OKINAWA	Miyako Island	Sunayama Beach	Unprovoked	White shark, 2.5 m 	1.0	['31']	[' FATAL']	['Surfing']	['Y']	['M']	Autumn
2000	Sep	19-Sep-00	AUSTRALIA	New South Wales	Wollongong	Provoked	100-kg [221-lb] dead blue shark	2.0	['12']	['Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT']	['Fell onto dead shark']	['N']	['M']	Autumn
2000	Sep	24-Sep-00	AUSTRALIA	South Australia	Cactus Beach near Penong	Unprovoked	White shark, 4 m to 5 m [13' to 16.5'] 	1.0	['25']	['FATAL']	['Surfing']	['Y']	['M']	Autumn
2000	Sep	25-Sep-00	AUSTRALIA	South Australia	Black Point, Eyre Peninsula	Unprovoked	White shark	1.0	['17']	['FATAL']	['Surfing']	['Y']	['M']	Autumn
2000	Sep	29-Sep-00	USA	California	Mavericks, Half Moon Bay, San Mateo County	Unprovoked	White shark, 4.3 m [14']	1.0	[nan]	['No injury']	['Sitting on surfboard']	['N']	['M']	Autumn
2001	Apr	02-Apr-01	AUSTRALIA	New South Wales	Nambucca River Entrance	Unprovoked	Bronze whaler shark	1.0	['40']	['Calf bitten']	['Surfing']	['N']	['M']	Spring
2001	Apr	05-Apr-01	USA	Florida	Bethune Beach, south of New Smyrna Beach, Volusia County	Unprovoked	"""small shark"""	1.0	['26']	['Minor lacerations to dorsum of left foot']	['Standing alongside surfboard']	['N']	['M']	Spring
2001	Apr	08-Apr-01	AUSTRALIA	New South Wales	Bronte Beach	Provoked	Wobbegong shark	1.0	[nan]	['Wrist lacerated PROVOKED INCIDENT']	['Snorkeling']	['N']	['M']	Spring
2001	Apr	08-Apr-01	SOUTH AFRICA	Eastern Cape Province	Cape St. Francis	Unprovoked	White shark, 2.7 m [9'] 	1.0	['46']	['Thigh, hip & buttock bitten']	['Surfing']	['N']	['M']	Spring
2001	Apr	10-Apr-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Possibly a juvenile blacktip or spinner shark	1.0	['16']	['Foot lacerated']	['Surfing']	['N']	[nan]	Spring
2001	Apr	11-Apr-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Possibly a juvenile blacktip or spinner shark	1.0	['19']	['Minor cuts on right heel & foot']	['Surfing']	['N']	['M']	Spring
2001	Apr	11-Apr-01	USA	Hawaii	Ewa Beach, O'ahu	Unprovoked	1 m shark, possibly whitetip reef shark	1.0	[nan]	['Minor punctures & lacerations on left hand ']	['Surfing']	['N']	['M']	Spring
2001	Apr	12-Apr-01	USA	Florida	New Smyrna Beach / Waveland, Volusia County	Unprovoked	Possibly a 1.5 m [5'] blacktip or spinner shark	1.0	['22']	['Foot lacerated']	['Surfing']	['N']	['M']	Spring
2001	Apr	12-Apr-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Possibly a juvenile blacktip or spinner shark	1.0	['21', '12']	['Small cuts on big & pinky toes of left foot', 'Foot & ankle lacerated']	['Surfing', 'Body boarding']	['N', 'N']	['M', 'M']	Spring
2001	Apr	13-Apr-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Possibly a juvenile blacktip or spinner shark	1.0	['12']	['Right foot & ankle lacerated']	['Surfing']	['N']	['M']	Spring
2001	Aug	12-Aug-01	THAILAND	Rayong Province	Laem Mae Pim Beach	Unprovoked	3 m [10'] shark	1.0	['21 & ?']	['Legs bitten']	['Fell off banana boat']	['N']	['M']	Summer
2001	Aug	16-Aug-01	BAHAMAS	Grand Bahama Island	High Rock, 25 to 30 miles east of Freeport	Unprovoked	1.9 m [6.5'] bull shark	1.0	['43']	['Calf bitten']	['Spearfishing']	['N']	['M']	Summer
2001	Aug	18-Aug-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3' shark, possibly  a blacktip or spinner shark	1.0	['19']	['Back of left hand gashed']	['Surfing']	['N']	['M']	Summer
2001	Aug	18-Aug-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Blacktip shark, 5' to 6' 	1.0	['19']	['Left ankle bitten']	['Surfing']	['N']	['M']	Summer
2001	Aug	18-Aug-01	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Possibly  a blacktip or spinner shark	1.0	['20']	['Cuts on right foot']	['Surfing']	['N']	['M']	Summer
2001	Aug	22-Aug-01	USA	Florida	Daytona, Volusia County 	Unprovoked	a small shark	1.0	['17']	['Foot lacerated']	['Surfing']	['N']	['M']	Summer
2001	Aug	31-Aug-01	BAHAMAS	Abaco Islands	North of Grand Cay	Unprovoked	3 m [10'] bull shark	1.0	['44']	['Torso lacerated']	['Spearfishing']	['N']	['M']	Summer
2001	Feb	04-Feb-01	AUSTRALIA	New South Wales	Broome Head	Unprovoked	Bronze whaler shark, 2.5 m [8.25']  k	1.0	['40']	['Leg bitten']	['Surfing']	['N']	['M']	Winter
2001	Feb	26-Feb-01	AUSTRALIA	Western Australia	Albany (incident took place 200 metres from swimmers)	Boat	White shark, 5 m [16.5'] 	1.0	[nan]	['No injury to occupants']	['Fishing for whiting']	['N']	[nan]	Winter
2001	Jan	06-Jan-01	NEW ZEALAND	North Island	Sandy Bay/Whananaki	Boat	White shark	1.0	[nan]	['No injury, kayak bitten']	['Kayaking']	['N']	['M']	Winter
2001	Jan	09-Jan-01	USA	California	Sunset Cliffs, San Diego	Unprovoked	"1.8 m to 2.4 m [6' to 8'] ""black finned shark"""	1.0	[nan]	['Foot bruised, board dinged']	['Surfing']	['N']	['M']	Winter
2001	Jan	21-Jan-01	AUSTRALIA	South Australia	Adelaide	Boat	White shark, 4.3 m [14'] 	1.0	[nan]	['No injury to occupants']	['Fishing']	['N']	[nan]	Winter
2001	Jan	24-Jan-01	CUBA	Holquin Province	Off Blau Costa Verde resort	Unprovoked	2 m [6.75'] shark	1.0	['55']	['Left arm bitten']	['Swimming']	['N']	['F']	Winter
2001	Jan	Reported  24-Jan-2001	AUSTRALIA	New South Wales	South West Rocks	Boat	5 m shark	1.0	['35']	['No injury, shark ramme d & bit kayak']	['Kayaking']	['N']	['M']	Winter
2001	Jul	06-Jul-01	USA	Florida	Gulf Islands National Seashore	Unprovoked	Bull shark, 2.3 m [7.5'] 	1.0	['8']	['Arm severed, surgically reattached']	['Swimming']	['N']	['M']	Summer
2001	Jul	15-Jul-01	USA	Florida	Amelia Island, Nassau County	Unprovoked	0.9 m  [3'] shark	1.0	['18']	['Foot lacerated']	['Boogie boarding']	['N']	['M']	Summer
2001	Jul	21-Jul-01	USA	Massachusetts	Chatham Island	Boat	Mako shark, 14' 	1.0	[nan]	['No Injury to occupants; shark bumped the boat ']	['Fishing']	['N']	[nan]	Summer
2001	Jul	24-Jul-01	USA	Florida	Marathon , Monroe County	Unprovoked	Nurse shark	1.0	[nan]	['2 bites behind knee']	[nan]	['N']	['F']	Summer
2001	Jun	03-Jun-01	USA	South Carolina	Off 21st Avenue, Isle of Palms, Charleston County	Unprovoked	2' shark	1.0	['29']	['3 puncture wounds on each side of her left  hand']	['Wading']	['N']	['F']	Summer
2001	Jun	10-Jun-01	USA	California	Catalina Island	Provoked	White shark, 2.4 m to 3 m [8' to 10'] 	1.0	['52']	['No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Summer
2001	Jun	12-Jun-01	USA	Texas	Padre Island National Seashore	Unprovoked	1.5 m [5'] shark	1.0	['14']	['Leg lacerated']	['Swimming']	['N']	['M']	Summer
2001	Mar	08-Mar-01	BRAZIL	Bahia	Nova Vicosa	Invalid	Shark involvement not confirmed	1.0	['12']	['Lacerations below the knee']	['Attempting to catch a crocodile']	['N']	['M']	Spring
2001	Mar	09-Mar-01	USA	Florida	Coral Cove Park, Jupiter Island, Martin County	Unprovoked	Spinner shark, 1.2 m to 1.5 m [4' to 5'] 	1.0	[nan]	['Fingers & hand lacerated']	['Surfing']	['N']	['M']	Spring
2001	May	03-May-01	USA	Florida	Jacksonville, Duval County	Unprovoked	1.2 m to 1.5 m [4' to 5'] shark	1.0	['45']	['Foot lacerated ']	['Surfing']	['N']	['M']	Spring
2001	May	08-May-01	SOUTH AFRICA	Eastern Cape Province	East London	Unprovoked	White shark, 2.7 m to 3 m [9' to 10'] 	1.0	['26']	['Leg bitten']	['Surfing']	['N']	['M']	Spring
2001	May	23-May-01	USA	South Carolina	Coligny Beach, Hilton Head, Beaufort County	Unprovoked	1.2 m to 1.5 m [4.5' to 5'] shark	1.0	['11']	['Shin lacerated']	['Swimming']	['N']	['M']	Spring
2001	Nov	23-Nov-01	AUSTRALIA	New South Wales	Flat Rock Beach, Lennox Head	Unprovoked	Bronze whaler shark	1.0	['49']	['No Injury, shark hit board']	['Surfing']	['N']	['M']	Autumn
2001	Oct	02-Oct-01	AUSTRALIA	Queensland	200 miles offshore	Unprovoked	Bronze whaler shark?	1.0	['20']	['Lacerations to right forearm & shoulder injured']	['Snorkeling']	['N']	['F']	Autumn
2001	Oct	07-Oct-01	SOUTH AFRICA	KwaZulu-Natal	Salt Rock 	Unprovoked	Mako shark, 2 m [6.75'] 	1.0	[nan]	['No injury']	['Kite-Boarding']	['N']	['M']	Autumn
2001	Sep	01-Sep-01	USA	Virginia	Sandbridge Beach, Princess Anne County	Unprovoked	bull shark	1.0	['10']	['FATAL, thigh bitten ']	['Swimming ']	['Y']	['M']	Autumn
2001	Sep	02-Sep-01	USA	Florida	Mayport Naval Station, Jacksonville, Duval Country	Unprovoked	1.5 m [5'] shark	1.0	['20']	['Right calf lacerated']	['Wading']	['N']	['M']	Autumn
2001	Sep	03-Sep-01	USA	North Carolina	Avon, Hatteras Island, Outer Banks, Dare County	Unprovoked	A large white shark was filmed by divers on a local wreck 2 days prior to the incident.	1.0	['23']	['Left buttock & foot  severed']	['Swimming']	['N']	['F']	Autumn
2001	Sep	03-Sep-01	USA	North Carolina	Avon, Hatteras Island, Outer Banks, Dare County	Unprovoked	A large white shark was filmed by divers on a local wreck 2 days prior to the incident.	3.0	['28']	['FATAL']	['Swimming ']	['Y']	['M']	Autumn
2001	Sep	07-Sep-01	USA	South Carolina	Waites Island, Horry County	Invalid	Shark involvement not confirmed	1.0	[nan]	['Left hand injured']	['Swimming']	['N']	['F']	Autumn
2001	Sep	13-Sep-01	UNITED KINGDOM	Cheshire	Blue Planet Aquarium, Ellesmere Port	Provoked	12' sandtiger shark	1.0	[nan]	['Head bitten by captive shark PROVOKED INCIDENT']	['Diving']	['N']	['M']	Autumn
2001	Sep	15-Sep-01	USA	Florida	A quarter mile north of Fort Pierce Inlet	Unprovoked	2' to 3.5' shark	1.0	['6�']	['2 lacerations on lower back, punctures on buttock']	['Boogie boarding']	['N']	['M']	Autumn
2001	Sep	16-Sep-01	USA	Florida	2 miles off Pompano Beach, Broward County	Invalid	Questionable incident - shark bite may have precipitated drowning	1.0	['42']	['FATAL or drowning & scavenging']	['Wreck / Technical diving']	['Y']	['M']	Autumn
2001	Sep	24-Sep-01	USA	Florida	Ponce Inlet, Volusia County	Provoked	4' shark	1.0	['21']	['PROVOKED INCIDENT Several small lacerations on left foot ']	['Surfing, fell off surfboard & stepped on the shark.']	['N']	['M']	Autumn
2001	Sep	30-Sep-01	AUSTRALIA	Queensland	Moreton Bay, NE of Brisbane 	Boat	4 m [13'] white shark	1.0	['31']	['No injury from shark']	[nan]	['N']	['M']	Autumn
2001	Sep	30-Sep-01	MEXICO	Guerrero	Ixtapa	Unprovoked	Tiger shark, 1.8 m [6']	1.0	['26']	['Hand injured']	['Body surfing']	['N']	['M']	Autumn
2002	Apr	01-Apr-02	USA	Florida	Lauderdale-By-The-Sea, Broward County	Unprovoked	0.9 m [3'] shark	1.0	['29']	['Upper left arm bitten']	['Swimming / Wading']	['N']	['M']	Spring
2002	Apr	02-Apr-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3'  shark	1.0	['41']	['Two half-inch lacerations on right heel and one near small toe']	['Wading']	['N']	['M']	Spring
2002	Apr	09-Apr-02	BAHAMAS	Abaco Islands	Walkers Cay	Unprovoked	Bull shark, 400-lb 	1.0	['43']	['Calf bitten']	['Standing']	['N']	['M']	Spring
2002	Apr	20-Apr-02	USA	Florida	St. Augustine Beach, St. Johns County	Unprovoked	1.2 m [4'] shark	1.0	['34']	['Left foot bitten']	['Surfing, but standing in water alongside board']	['N']	['M']	Spring
2002	Apr	30-Apr-02	AUSTRALIA	South Australia	Smoky Bay, near Ceduna, on the Eyre Peninsula	Unprovoked	White shark, 6m [20']	1.0	['23']	['FATAL, torso & leg bitten  ']	['Scallop diving (using surface-supplied air & a POD) ']	['Y']	['M']	Spring
2002	Aug	05-Aug-02	USA	North Carolina	Topsail Beach, Pender County	Unprovoked	1.2 m to 1.5 m [4' to 5'] shark	1.0	['14']	['Leg lacerated']	['Standing']	['N']	['M']	Summer
2002	Aug	11-Aug-02	USA	Florida	Vero Beach, Indian River County	Unprovoked	Nurse shark, 1.5 m [5'] 	1.0	['15']	['Lacerations on heel & dorsum of right foot']	['Surfing']	['N']	['M']	Summer
2002	Aug	14-Aug-02	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	0.9 m  to 1.2 m [3' to 4'] shark	1.0	['27']	['Big toe bitten']	['Surfing']	['N']	['M']	Summer
2002	Aug	28-Aug-02	USA	Hawaii	Kewalo Basin Channel, O'ahu	Unprovoked	Tiger shark, 2.4 m to 3 m [8' to 10'] 	1.0	['16']	['Left foot lacerated ']	['Surfing']	['N']	['M']	Summer
2002	Aug	Reported 06-Aug-2002	UNITED KINGDOM	Cheshire	Blue Planet Aquarium, Ellesmere Port	Provoked	Sandtiger shark, 3 m [10'] 	1.0	['30']	['Hand bitten by captive shark PROVOKED INCIDENT']	['Diving']	['N']	['M']	Summer
